,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
99,Clint Capela,ATL,27,63,34,29,30.1,114.8,108.2,6.6,3.9,0.67,5.3,15.5,30.1,23,8,59.4,60.1,19.3,99.41,15.8,3927
99,Cory Joseph,DET,29,63,25,38,23,109.8,115.3,-5.5,20.4,2.7,28.2,2.4,8.5,5.5,10.4,52.2,55.6,15.9,100.79,7.9,3024
99,Dean Wade,CLE,24,63,19,44,19.2,102.9,111.9,-9,9.4,2.47,17.2,3.1,15.4,9,7,55.6,57.3,12.8,99.06,8.2,2503
99,Delon Wright,SAC,29,63,21,42,27.7,108.3,111.8,-3.5,23.7,3.35,29.7,3.6,12.2,7.7,8.9,52.5,56.2,16.3,98.91,11.5,3610
99,Draymond Green,GSW,31,63,35,28,31.5,114.8,109.3,5.4,34.5,2.97,48,2.8,18.4,11,16.2,49.2,53,12.8,104.21,10.7,4305
99,Elfrid Payton,NYK,27,63,36,27,23.6,107.8,110.8,-3,20.9,1.97,20.9,4.1,9.8,6.9,10.6,45.5,47.8,22.4,97.3,7.9,3006
99,Grant Williams,BOS,22,63,30,33,18.1,107.4,109.3,-1.9,7.9,1.14,16.4,4,11.3,7.6,14.4,53.4,54.6,12,101.01,4,2393
99,Ja Morant,MEM,21,63,33,30,32.6,114.7,112.1,2.6,32.1,2.29,25.9,2.7,9.1,5.9,11.3,48.7,53.7,26.7,102.16,11.3,4366
99,Jaden McDaniels,MIN,20,63,18,45,24,109.6,113.1,-3.4,6.4,1.51,14.1,3.2,11.8,7.3,9.3,54.5,55.2,11.8,103.13,5,3250
99,Jarrett Allen,CLE,23,63,20,43,29.6,108.3,113.9,-5.6,8.7,1.06,12.9,10.6,23.2,17,12.2,62.4,66.1,16.3,98.96,13.8,3847
